id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
1334421,168153,1220,0.081,0,1.0,,,,,
1334422,168153,1221,0.027000000000000003,0,1.0,,,,,
1334423,168153,1223,0.126,0,1.0,,,,,
1334424,168153,1227,0.053,0,1.0,,,,,
1334425,168153,1214,0.061,0,1.0,,,,,
1334426,168153,1216,0.031,0,1.0,,,,,
1334427,168153,1219,0.057,0,1.0,,,,,
1334428,168153,1004,0.52,20,1.0,0.11,1.09,,,
1334429,168153,1123,122.0,6,1.0,96.0,150.0,,,
1334430,168153,1125,0.0,4,1.0,0.0,0.0,,,
1334431,168153,1126,0.03,4,1.0,0.02,0.04,,,
1334432,168153,1128,0.0,4,1.0,0.0,0.0,,,
1334433,168153,1129,0.0,4,1.0,0.0,0.0,,,
1334434,168153,1167,0.341,18,1.0,0.251,0.444,,,
1334435,168153,1170,0.183,18,1.0,0.131,0.28,,,
1334436,168153,1175,0.063,18,1.0,0.055,0.08,,,
1334437,168153,1010,0.15,8,1.0,0.07,0.33,,,
1334438,168153,1011,4.11,8,1.0,3.8,4.55,,,
1334439,168153,1014,0.19,8,1.0,0.15,0.3,,,
1334440,168153,1051,83.07,20,1.0,80.0,85.11,,,
1334441,168153,1057,0.0,0,68.0,,,,,
1334442,168153,1058,0.0,0,68.0,,,,,
1334443,168153,2000,8.99,8,1.0,8.37,9.52,,,
1334444,168153,1087,34.0,20,1.0,21.0,45.0,,,
1334445,168153,1092,312.0,16,1.0,286.0,358.0,,,
1334446,168153,1095,0.14,21,1.0,0.09,0.2,,,
1334447,168153,1103,0.2,5,1.0,0.1,0.3,,,
1334448,168153,1109,1.46,16,1.0,1.28,1.82,,,
1334449,168153,1212,0.051,0,1.0,,,,,
1334450,168153,1213,0.066,0,1.0,,,,,
1334451,168153,1110,0.0,0,68.0,,,,,
1334452,168153,1018,0.0,0,,,,,,
1334453,168153,1180,7.8,0,,,,,,
1334454,168153,1198,0.5,2,1.0,0.5,0.5,,,
1334455,168153,1093,3.0,18,1.0,0.0,4.0,,,
1334456,168153,1259,0.0,0,,,,,,
1334457,168153,1260,0.0,0,,,,,,
1334458,168153,1262,0.0,0,,,,,,
1334459,168153,1265,0.017,0,,,,,,
1334460,168153,1266,0.012,0,,,,,,
1334461,168153,1268,0.047,0,,,,,,
1334462,168153,1269,0.246,0,,,,,,
1334463,168153,1270,0.042,0,,,,,,
1334464,168153,1271,0.0,0,,,,,,
1334465,168153,1276,0.0,0,,,,,,
1334466,168153,1277,0.0,0,,,,,,
1334467,168153,1279,0.0,0,,,,,,
1334468,168153,1292,0.047,0,49.0,,,,,
1334469,168153,1293,0.287,0,49.0,,,,,
1334470,168153,1005,14.66,0,49.0,,,,,
1334471,168153,1008,61.0,0,49.0,,,,,
1334472,168153,1190,25.0,0,49.0,,,,,
1334473,168153,1062,255.0,0,49.0,,,,,
1334474,168153,1187,25.0,17,1.0,20.0,35.0,,,
1334475,168153,1258,0.0289999999999999,0,49.0,,,,,
1334476,168153,1261,0.0,0,,,,,,
1334477,168153,1263,0.0,0,,,,,,
1334478,168153,1264,0.0,0,,,,,,
1334479,168153,1272,0.0,0,,,,,,
1334480,168153,1275,0.0,0,,,,,,
1334481,168153,1278,0.0,0,,,,,,
1334482,168153,1280,0.0,0,,,,,,
1334483,168153,1105,0.0,0,68.0,,,,,
1334484,168153,1257,0.0,0,68.0,,,,,
1334485,168153,1178,0.0,0,68.0,,,,,
1334486,168153,1253,0.0,0,68.0,,,,,
1334487,168153,1242,0.0,0,68.0,,,,,
1334488,168153,1246,0.0,0,68.0,,,,,
1334489,168153,1114,0.0,0,68.0,,,,,
1334562,168155,1186,0.0,0,68.0,,,,,
1334563,168155,1261,0.0,0,,,,,,
1334564,168155,1263,0.0,0,,,,,,
1334565,168155,1278,0.0,0,,,,,,
1334566,168155,1280,0.0,0,,,,,,
1334567,168155,1272,0.0,0,,,,,,
1334568,168155,1057,0.0,0,68.0,,,,,
1334569,168155,1058,0.0,0,68.0,,,,,
1334570,168155,1259,0.0,0,,,,,,
1334571,168155,1260,0.0,0,,,,,,
1334572,168155,1262,0.0,0,,,,,,
1334573,168155,1271,0.0,0,,,,,,
1334574,168155,1276,0.0,0,,,,,,
1334575,168155,1277,0.0,0,,,,,,
1334576,168155,1279,0.0,0,,,,,,
1334577,168155,1110,0.0,0,68.0,,,,,
1334578,168155,1018,0.0,0,,,,,,
1334579,168155,1123,0.0,0,20.0,,,,,
1334580,168155,1167,0.2,0,,,,,,
1334581,168155,1170,0.217,0,,,,,,
1334582,168155,1175,0.043,0,,,,,,
1334583,168155,1004,0.2,0,,,,,,
1334584,168155,1005,10.54,0,49.0,,,,,
1334585,168155,2000,1.69,0,20.0,,,,,
1334586,168155,1087,33.0,0,,,,,,
1334587,168155,1092,102.0,0,,,,,,
1334588,168155,1095,0.11,1,,,,,,
1334589,168155,1103,0.4,0,16.0,,,,,
1334590,168155,1109,0.22,0,20.0,,,,,
1334591,168155,1051,88.26,5,,,,,,
1334592,168155,1265,0.02,0,,,,,,
1334593,168155,1266,0.001,0,,,,,,
1334594,168155,1268,0.016,0,,,,,,
1334595,168155,1269,0.036000000000000004,0,,,,,,
1334596,168155,1270,0.019,0,,,,,,
1334597,168155,1292,0.019,0,,,,,,
1334598,168155,1293,0.055,0,,,,,,
1334599,168155,1003,0.7,0,,,,,,
1334600,168155,1007,0.3,0,,,,,,
1334601,168155,1106,2.0,0,20.0,,,,,
1334602,168155,1107,30.0,0,20.0,,,,,
1334603,168155,1108,0.0,0,20.0,,,,,
1334604,168155,1089,0.6,0,,,,,,
1334605,168155,1090,6.0,0,,,,,,
1334606,168155,1091,18.0,0,,,,,,
1334607,168155,1093,2.0,0,,,,,,
1334608,168155,1098,0.065,1,,,,,,
1334609,168155,1101,0.008,0,,,,,,
1334610,168155,1104,50.0,0,20.0,,,,,
1334611,168155,1275,0.003,0,,,,,,
1334612,168155,1258,0.022,0,,,,,,
1334613,168155,1264,0.001,0,,,,,,
1334614,168155,1185,0.6,0,20.0,,,,,
1334615,168155,1120,0.0,0,20.0,,,,,
1334616,168155,1122,0.0,0,20.0,,,,,
1334617,168155,1162,29.1,1,,,,,,
1334618,168155,1165,0.03,0,,,,,,
1334619,168155,1166,0.02,0,,,,,,
1334620,168155,1177,8.0,7,,,,,,
1334621,168155,1105,0.0,0,68.0,,,,,
1334622,168155,1257,0.0,0,68.0,,,,,
1334623,168155,1214,0.0139999999999999,10,,,,,,
1334624,168155,1253,0.0,0,68.0,,,,,
1334625,168155,1210,0.003,10,,,,,,
1334626,168155,1215,0.002,6,,,,,,
1334627,168155,1079,2.8,0,,,,,,
1334628,168155,1178,0.0,0,68.0,,,,,
1334629,168155,1242,0.0,0,68.0,,,,,
1334630,168155,1246,0.0,0,68.0,,,,,
1334631,168155,1114,0.0,0,68.0,,,,,
1334632,168155,1008,30.0,0,49.0,,,,,
1334633,168155,1190,8.0,0,49.0,,,,,
1334634,168155,1180,5.1,0,20.0,,,,,
1334635,168155,1187,8.0,7,,,,,,
1334636,168155,1062,126.0,0,,,,,,
1356683,168389,1186,0.0,0,68.0,,,,,
1356684,168389,1110,0.0,0,68.0,,,,,
1356685,168389,1300,0.0,1,1.0,,,,,
1356686,168389,1301,0.0,1,1.0,,,,,
1356687,168389,1323,0.0,1,1.0,,,,,
1356688,168389,1333,0.0,1,1.0,,,,,
1356689,168389,1258,0.04,0,49.0,,,,,
1356690,168389,1261,0.0,1,1.0,,,,,
1356691,168389,1263,0.0,1,1.0,,,,,
1356692,168389,1264,0.0,1,1.0,,,,,
1356693,168389,1272,0.0,1,1.0,,,,,
1356694,168389,1273,0.0,1,1.0,,,,,
1356695,168389,1274,0.0,1,1.0,,,,,
1356696,168389,1275,0.0,1,1.0,,,,,
1356697,168389,1278,0.0,1,1.0,,,,,
1356698,168389,1280,0.0,1,1.0,,,,,
1356699,168389,1127,0.0,2,,0.0,0.0,,,
1356700,168389,1162,5.6,4,1.0,5.2,6.2,,,
1356701,168389,1177,52.0,4,1.0,40.0,70.0,,,
1356702,168389,1187,52.0,4,1.0,40.0,70.0,,,
1356703,168389,1210,0.027000000000000003,0,1.0,,,,,
1356704,168389,1211,0.084,0,1.0,,,,,
1356705,168389,1215,0.031,0,1.0,,,,,
1356706,168389,1217,0.075,0,1.0,,,,,
1356707,168389,1218,0.052000000000000005,0,1.0,,,,,
1356708,168389,1222,0.115,0,1.0,,,,,
1356709,168389,1224,0.233,0,1.0,,,,,
1356710,168389,1225,0.093,0,1.0,,,,,
1356711,168389,1226,0.071,0,1.0,,,,,
1356712,168389,1003,2.2,4,1.0,2.14,2.25,,,
1356713,168389,1125,0.0,2,,0.0,0.0,,,
1356714,168389,1126,0.09,2,,0.07,0.11,,,
1356715,168389,1198,0.6,1,1.0,,,,,
1356716,168389,1212,0.075,0,1.0,,,,,
1356717,168389,1213,0.128,0,1.0,,,,,
1356718,168389,1214,0.104,0,1.0,,,,,
1356719,168389,1216,0.031,0,1.0,,,,,
1356720,168389,1219,0.115,0,1.0,,,,,
1356721,168389,1220,0.091,0,1.0,,,,,
1356722,168389,1221,0.049,0,1.0,,,,,
1356723,168389,1223,0.508,0,1.0,,,,,
1356724,168389,1227,0.106,0,1.0,,,,,
1356725,168389,1109,1.13,2,,0.98,1.27,,,
1356726,168389,2000,1.88,0,49.0,,,,,
1356727,168389,1259,0.0,0,,,,,,
1356728,168389,1260,0.0,0,,,,,,
1356729,168389,1262,0.0,1,1.0,,,,,
1356730,168389,1265,0.04,1,1.0,,,,,
1356731,168389,1266,0.0,1,1.0,,,,,
1356732,168389,1267,0.0,1,1.0,,,,,
1356733,168389,1268,0.0,1,1.0,,,,,
1356734,168389,1269,0.04,1,1.0,,,,,
1356735,168389,1270,0.01,1,1.0,,,,,
1356736,168389,1271,0.0,1,1.0,,,,,
1356737,168389,1276,0.0,1,1.0,,,,,
1356738,168389,1277,0.0,1,1.0,,,,,
1356739,168389,1279,0.0,1,1.0,,,,,
1356740,168389,1292,0.0,0,49.0,,,,,
1356741,168389,1293,0.05,0,49.0,,,,,
1356742,168389,1299,0.0,1,1.0,,,,,
1356743,168389,1313,0.0,1,1.0,,,,,
1356744,168389,1325,0.0,1,1.0,,,,,
1356745,168389,1180,16.0,0,,,,,,
1356746,168389,1018,0.0,0,,,,,,
1356747,168389,1105,0.0,0,68.0,,,,,
1356748,168389,1257,0.0,0,68.0,,,,,
1356749,168389,1093,2.0,17,,,,,,
1356750,168389,1253,0.0,0,68.0,,,,,
1356751,168389,1283,24.0,1,,,,,,
1356752,168389,1178,0.0,0,68.0,,,,,
1356753,168389,1005,3.88,0,49.0,,,,,
1356754,168389,1008,20.0,0,49.0,,,,,
